时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.282590,0.451380,0.229111,0.247283,0.484089,0.474516,0.253440,0.416676
0.400000,0.282304,0.450630,0.228944,0.247237,0.482583,0.474534,0.253439,0.415531
0.600000,0.282396,0.450202,0.228915,0.247142,0.481846,0.474471,0.253288,0.415012
0.800000,0.282271,0.449792,0.228906,0.246964,0.480679,0.474494,0.253239,0.414168
1.000000,0.282140,0.449234,0.228980,0.246941,0.479791,0.474309,0.253081,0.413457
1.200000,0.282212,0.448850,0.229017,0.247006,0.478978,0.474302,0.253266,0.412850
1.400000,0.282167,0.448477,0.228983,0.246913,0.477931,0.474260,0.253024,0.412151
1.600000,0.282114,0.448093,0.228974,0.247009,0.477162,0.474364,0.253054,0.411445
1.800000,0.282081,0.447555,0.228884,0.246748,0.476254,0.474309,0.252990,0.410789
2.000000,0.282018,0.447228,0.228751,0.246684,0.475403,0.474222,0.252958,0.410004
2.200000,0.281963,0.446816,0.228801,0.246595,0.474421,0.474362,0.252846,0.409491
2.400000,0.281899,0.446367,0.229027,0.246734,0.473627,0.474137,0.252963,0.408924
2.600000,0.281881,0.445943,0.228973,0.246503,0.472608,0.474203,0.252810,0.408109
2.800000,0.281949,0.445693,0.229004,0.246501,0.471917,0.474215,0.252836,0.407501
3.000000,0.281822,0.445384,0.228981,0.246376,0.471014,0.474230,0.252675,0.406721
3.200000,0.281808,0.444921,0.228975,0.246452,0.470179,0.474050,0.252679,0.406188
3.400000,0.281749,0.444487,0.228863,0.246425,0.469303,0.473939,0.252581,0.405392
3.600000,0.281681,0.444117,0.228788,0.246351,0.468535,0.474163,0.252666,0.404915
3.800000,0.281643,0.443666,0.228737,0.246357,0.467625,0.473791,0.252530,0.404255
4.000000,0.281573,0.443342,0.228828,0.246154,0.466821,0.474084,0.252392,0.403646
4.200000,0.281542,0.442706,0.228840,0.246193,0.465958,0.474145,0.252442,0.403004
4.400000,0.281473,0.442489,0.228754,0.246040,0.465030,0.473814,0.252230,0.402327
4.600000,0.281484,0.442336,0.228684,0.246120,0.464251,0.474041,0.252243,0.401698
4.800000,0.281234,0.441870,0.228760,0.246056,0.463505,0.473957,0.252156,0.401215
5.000000,0.281361,0.441405,0.228754,0.245994,0.462522,0.473840,0.252081,0.400471
5.200000,0.281370,0.441054,0.228842,0.245953,0.461740,0.473926,0.252205,0.399954
5.400000,0.281249,0.440525,0.228761,0.245788,0.460976,0.473832,0.251930,0.399171
5.600000,0.281246,0.440312,0.228735,0.245914,0.460056,0.473898,0.251985,0.398851
5.800000,0.281176,0.439943,0.228753,0.245699,0.459379,0.473871,0.251849,0.398013
6.000000,0.281162,0.439593,0.228763,0.245789,0.458408,0.473824,0.251961,0.397472
6.200000,0.281123,0.439099,0.228585,0.245541,0.457660,0.473638,0.251896,0.396748
6.400000,0.281145,0.438919,0.228781,0.245650,0.456891,0.473830,0.251758,0.396293
6.600000,0.281048,0.438349,0.228759,0.245441,0.455918,0.473768,0.251884,0.395451
6.800000,0.280840,0.438051,0.228694,0.245488,0.455025,0.473671,0.251732,0.395047
7.000000,0.280971,0.437657,0.228642,0.245427,0.454394,0.473660,0.251715,0.394253
7.200000,0.280777,0.437233,0.228676,0.245361,0.453545,0.473348,0.251671,0.393787
7.400000,0.280889,0.436889,0.228517,0.245457,0.452823,0.473483,0.251562,0.393129
7.600000,0.280765,0.436624,0.228679,0.245358,0.451970,0.473658,0.251567,0.392576
7.800000,0.280767,0.436280,0.228664,0.245265,0.451469,0.473527,0.251511,0.392032
8.000000,0.280744,0.435262,0.228660,0.245196,0.450454,0.473770,0.251370,0.391453
8.200000,0.280669,0.435613,0.228500,0.245060,0.449657,0.473613,0.251387,0.390875
8.400000,0.280683,0.435326,0.228624,0.245143,0.449066,0.473496,0.251349,0.390224
8.600000,0.280631,0.435060,0.228580,0.245007,0.448341,0.473531,0.251262,0.389824
8.800000,0.280575,0.434623,0.228656,0.244999,0.447444,0.473491,0.251272,0.389115
9.000000,0.280469,0.434367,0.228692,0.244999,0.446856,0.473486,0.251176,0.388717
9.200000,0.280536,0.433902,0.228463,0.244824,0.446064,0.473415,0.251116,0.388162
9.400000,0.280461,0.433750,0.228711,0.244826,0.445298,0.473443,0.251111,0.387661
9.600000,0.280309,0.433437,0.228609,0.244963,0.444689,0.473468,0.251071,0.387116
9.800000,0.280371,0.433087,0.228691,0.244865,0.443961,0.473475,0.251157,0.386618
10.000000,0.280328,0.432765,0.228521,0.244725,0.443200,0.473323,0.250971,0.385904
10.200000,0.280340,0.432455,0.228431,0.244452,0.442581,0.473065,0.250759,0.385539
